Input	Target	Prediction
Inventory Attribute	Atributo de Inventario	Atributo de inventario
Do you want to automatically set a shipment's status to staged when all other inventory for the shipment has been deposited in the staging lane?	¿Quiere establecer automáticamente el estado de un envío a stage cuando todo el inventario del envío haya sido depositado en el carril de stage?	¿Desea establecer automáticamente el estado de un envío a stage cuando todo el inventario del envío haya sido depositado en el carril de stablecimiento?
To Previous Operator After Inline Replenishment	Al Operador Anterior Después de Reabasto en Línea	Al Operador Anterior Después de Reabasto en Línea
Add Resource	Agregar Recurso	Agregar Recurso
BTO Obsolete	BTO Obsoleto	BTO Obsoleto
Inventory Close	Cierre de Inventario	Cierre de Inventario
Production Area	Área de Producción	Área de Producción
9 - low	9 - bajo	9 - bajo
Auto Calculate Manufactured and Expiring dates	Calcular Automáticamente Fechas de Fabricación y Expiración	Calcular Automáticamente Fechas de Fabricación y Expiración
Shared/RF Message	Compartido/Mensaje RF	Compartido/Mensaje RF
Delete Confirmation	Eliminar Confirmación	Confirmación de eliminación
Inbound Customs	Aduanas Entrante	Aduanas Entrante
Are you sure you want to remove the selected load from wave?	¿Está seguro de que desea remover la carga seleccionada de la ola?	¿Está seguro de que desea remover la carga seleccionada de la ola?
Configuration/Work Operations	Configuración/Operaciones de Trabajo	Configuración/Operaciones de Trabajo
At least one work order type should be defined for BOM in Processing Grid	Al menos se debe definir un tipo de orden de trabajo para la lista de materiales en la cuadrícula de procesamiento	Al menos se debe definir un tipo de orden de trabajo para la lista de materiales en la cuadrícula de procesamiento
Invalid characters	Caracteres inválidos	Caracteres inválidos
Default last handling unit scanned during receiving until operator scans a new handling unit?	¿Establecer como predeterminado la última unidad de manejo escaneada durante el recibo hasta que el operador escanee una nueva unidad de manipulación?	¿Establecer como predeterminado la última unidad de manejo escaneada durante el recibo hasta que el operador escanee una nueva.
Project Number	Número de Proyecto	Número de Proyecto
Status File	Archivo de Estado	Archivo de Estado
Destination Area	Área de Destino	Área de Destino
Post Processing Command	Comando de Postprocesamiento	Comando de Post Procesamiento.
Count Settings	Configuración de Conteo	Configuración de Conteo
BOM Catch Quantity	Cantidad Variable LDM	Cantidad de Captura de LM
Should the system automatically increase the priority of work based on shipping date?	¿Debe el sistema aumentar automáticamente la prioridad del trabajo en función a la fecha de envío?	¿Debe el sistema aumentar automáticamente la prioridad del trabajo en función a la fecha de envío?
Inventory Attribute Text 1	Atributo de inventario - Texto 1	Atributo de Inventario - Texto 1
Add New Carton	Agregar Nueva Cartón	Agregar Nueva Cartón
Should the system attempt to consolidate picks that have the same schedule batch, shipment, LPN level, origin code, lot number, revision level, source location, destination location and UCC?	¿Debe el sistema intentar consolidar los surtidos que tengan el mismo lote de programación, envío, nivel de LPN, código de origen, número de lote, nivel de revisión, ubicación de origen, ubicación de destino y UCC?	¿Debería el sistema intentar consolidar los surtidos que tengan el mismo lote de programación, envío, nivel de LPN, código de origen, número de lote, nivelde revisión, ubicación de origen y ubicación de destino y UCC?
Successful updates:	Actualizaciones exitosas:	Actualizaciones exitosas:
What format does this customer use?	¿Qué formato utiliza este comprador?	¿Qué formato utiliza este comprador?
Location Sort	Ubicación en Corto	Ubicación en Corto
Host Client	Cliente de Host	Cliente de Host
is incorrect or does not exist.	es incorrecto(a) o no existe.	es incorrecto(a) o no existe.
What is the deposit location type where a partial pallet can be deposited in case of an exception?	¿Cuál es el tipo de ubicación de depósito donde se puede depositar un pallet parcial en caso de una excepción?	¿Cuál es el tipo de ubicación de depósito donde se puede depositar un pallet parcial en caso de excepción?
Command Lookup	Búsqueda de Comando	Búsqueda de Comando
Can the operator override the ship staging location when product is destined to this location type?	¿Puede el operador sobreescribir la ubicación de stage de envío cuando el producto está destinado a este tipo de ubicación?	¿Puede el operador sobreescribir la ubicación de stage de envío cuando el producto está destinado a este tipo de ubicación?
Are you sure you want to delete the selected messages?	¿Está seguro de que desea eliminar los mensajes seleccionados?	¿Está seguro de que desea eliminar los mensajes seleccionados?
RF Repeat Item	Artículo Repetido RF	Artículo Repetido RF
Status Codes	Códigos de Estado	Códigos de Estado
Add Voice Distribution Set	Agregar Configuración de Distribución de Voz	Agregar Configuración de Distribución de Voz
Find Locations	Buscar Ubicaciones	Buscar Ubicaciones
Unrecognized boolean	Booleano no reconocido	Booleano no reconocido
Number Capture	Captura de Número	Captura de Número
Are you sure you want to delete the selected record?	¿Está seguro de que desea eliminar el registro seleccionado?	¿Está seguro de que desea eliminar el registro seleccionado?
Is the operator allowed to deposit the picked items prior to completing the assignment?	¿Se le permite al operador depositar los artículos surtidos antes de completar la asignación?	¿Se le permite al operador depositar los artículos surtidos antes de completar la asignación?
Archive Table	Archivar Tabla	Archivar Tabla
Packing Settings	Configuración de Empaque	Configuración de Empaque
Integration Point Configurations	Configuraciones de Punto de Integración	Configuraciones de Punto de Integración
ALTERNATE ITEM	ARTÍCULO ALTERNATIVO	ARTÍCULO ALTERNATIVO
Multiple Line Flag	Bandera de Línea Múltiple	Bandera de Línea Múltiple
Adjust Open Receipt	Ajustar Recepción Abierta	Ajustar Recepción Abierta
Items Not Assigned To A Location	Artículos Sin Asignar a una Ubicación	Artículos No Asignados A Una Ubicación
Source Work Area	Área de Trabajo de Origen	Área de Trabajo de Origen
Cancelled Command	Comando Cancelado	Comando Cancelado
Should the system display print message if work flow is configured to print paper work on shipment complete?	¿Debe el sistema mostrar un mensaje de impresión si el flujo de trabajo está configurado para imprimir la documentación cuando el envío esté completo?	¿Debe el sistema mostrar el mensaje de impresión si el flujo de trabajo está configurado para imprimir la documentación cuando el envío esté completo?
Audible Warning	Alerta Sonora	Advertencia Sonora
Pick Catch Quantity	Cantidad Variable de Surtido	Cantidad Variable de Surtido
Item Family Group Lookup	Búsqueda de Grupo de Familias de Artículos	Búsqueda de Grupo de Familias de Artículos
Production Quantity	Cantidad de Producción	Cantidad de Producción
Items on hold:	Artículos en retención:	Artículos en retención:
Pick Defaults Command	Comando Predeterminado de Surtido	Comando Predeterminado de Surtido
Consolidation Rule Method	Método de Regla de Consolidación	Método de Regla de Consolidación
Escalation Settings	Configuración de Escalación	Configuración de Escalación
Capacity:	Capacidad:	Capacidad:
When should the location be released after counting?	¿Cuándo debe liberarse la ubicación después del conteo?	¿Cuándo debe liberarse la ubicación después del conteo?
Is picking or counting in this zone based on each quantity without the requirement to scan an LPN or case identifier?	¿El surtido o el conteo en esta zona se basa en cada cantidad sin el requisito de escanear un LPN o indentificador de caja?	¿El surtido o el conteo en esta zona se basa en cada cantidad sin el requisito de escanear un LPN o indentificador de caja?
Equipment Capacity	Capacidad de Equipo	Capacidad de Equipo
Change Inventory Status	Cambiar Estado de Inventario	Cambiar Estado de Inventario
Load File	Cargar Archivo	Cargar Archivo
Load Attribute 2	Atributo de Carga 2	Atributo de Carga 2
Work Type Attributes	Atributos Tipo Trabajo	Atributos del Tipo de Trabajo
Location Width	Ancho de Ubicación	Ancho de Ubicación
Client Inventory Attributes	Atributos de Inventario del Cliente	Atributos de Inventario del Cliente
To Location	A la Ubicación	A Ubicación
Configure Child Grid	Configurar Cuadrícula Secundaria	Configurar Cuadrícula Secundaria
Receiving Staging Area	Área de Stage de Recibo	Área de Stage de Recibo
Remainder Display Pick Quantity	Mostrar Remanente de Cantidad de Surtido	Mostrar Remanente de Cantidad de Surtido
Field 3	Campo 3	Campo 3
Are you sure you want to delete this record?	¿Desea eliminar este registro?	¿Está seguro de que desea eliminar este registro?
Are you sure want to checkout selected tractor	¿Está seguro de que desea hacer check-out del tractor seleccionado?	¿Está seguro de que desea hacer check-out del tractor seleccionado?
Are you sure you want to close the selected handling units?	¿Está seguro que quiere cerrar las unidades de manejo seleccionadas?	¿Está seguro de que quiere cerrar las unidades de manejo seleccionadas?
How many eaches are allowed in each location?	¿Cuántas piezas se permiten en cada ubicación?	¿Cuántas piezas se permiten en cada ubicación?
Add To Favorites	Agregar a Favoritos	Agregar a Favoritos
On what days should picks be performed?	¿En qué días se deberían realizar los surtidos?	¿En qué días se deberían realizar los surtidos?
Capture Pickup Quantity	Capturar Cantidad Recogida	Capturar Cantidad Recogida
.Please unpack this inventory if you want to select a Pallet type carton for this shipment	.Proceda a desempacar este inventario si desea seleccionar un cartón de tipo pallet para este envío	.Proceda a desempacar este inventario si desea seleccionar un cartón de tipo pallet para este envío
(In-Process)	(En-Proceso)	(En-Proceso)
is already closed.	ya esta cerrado(a).	ya está cerrada.
Host Client	Cliente de Host	Cliente de Host
Are you sure you want to close the selected handling units?	¿Está seguro que quiere cerrar las unidades de manejo seleccionadas?	¿Está seguro de que quiere cerrar las unidades de manejo seleccionadas?
Group by 1:	Agrupar por 1:	Agrupar por 1:
Are you sure you want to cancel the selected counts?	¿Está seguro de que desea cancelar los conteos seleccionados?	¿Está seguro de que desea cancelar los conteos seleccionados?
Drag and drop work orders to update the sequence/priority of work orders.	Arrastre y Coloque las órdenes de trabajo para actualizar su secuencia/prioridad.	Arrastra y sueltar órdenes de trabajo para actualizar la secuencia/obligatorio de las órdenes de Trabajo.
Would you like to use an average to determine catch quantity?	¿Desea usar un promedio para determinar cantidad variable?	¿Desea usar un promedio para determinar cantidad variable?
- Used to configure auditing rules including what information is required to verify the contents of the shipping container.	- Utilizado para configurar las reglas de auditoría, incluyendo qué información se requiere para verificar el contenido del contenedor de envío.	- Utilizado para configurar las reglas de auditoría, incluyendo qué información se requiere para verificar el contenido del contenedor de envío.
Count Grouping	Agrupación de Conteo	Agrupación de Conteo
Count Attributes	Atributos de Conteo	Atributos de Conteo
